-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  21.1526   Longitude 79.0872 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,8,5,2,0.0
2015,8,5,3,0.0
2015,8,5,4,0.0
2015,8,5,5,53.34
2015,8,5,6,27.83
2015,8,5,7,42.66
2015,8,5,8,50.42
2015,8,5,9,63.14
2015,8,5,10,51.25
2015,8,5,11,59.38
2015,8,5,12,63.69
2015,8,5,13,65.27
2015,8,5,14,59.91
2015,8,5,15,50.22
2015,8,5,16,41.86
2015,8,5,17,86.85
2015,8,5,18,0.0
2015,8,5,19,0.0
2015,8,5,20,0.0
2015,8,5,21,0.0
2015,8,5,22,0.0
2015,8,5,23,0.0
2015,8,6,0,0.0
2015,8,6,1,0.0
2015,8,6,2,0.0
2015,8,6,3,0.0
2015,8,6,4,0.0
2015,8,6,5,48.03
2015,8,6,6,34.27
2015,8,6,7,52.1
2015,8,6,8,71.0
2015,8,6,9,91.8
2015,8,6,10,94.03
2015,8,6,11,90.0
2015,8,6,12,73.53
2015,8,6,13,74.18
2015,8,6,14,67.91
2015,8,6,15,61.59
2015,8,6,16,49.65
2015,8,6,17,30.52
2015,8,6,18,0.0
2015,8,6,19,0.0
2015,8,6,20,0.0
2015,8,6,21,0.0
2015,8,6,22,0.0
2015,8,6,23,0.0
2015,8,7,0,0.0
2015,8,7,1,0.0
2015,8,7,2,0.0
2015,8,7,3,0.0
2015,8,7,4,0.0
2015,8,7,5,48.12
2015,8,7,6,47.74
2015,8,7,7,85.13
2015,8,7,8,124.03
2015,8,7,9,154.23
2015,8,7,10,155.53
2015,8,7,11,161.36
2015,8,7,12,197.65
2015,8,7,13,159.29
2015,8,7,14,155.84
2015,8,7,15,139.23
2015,8,7,16,104.36
2015,8,7,17,59.07
2015,8,7,18,0.0
2015,8,7,19,0.0
2015,8,7,20,0.0
2015,8,7,21,0.0
2015,8,7,22,0.0
2015,8,7,23,0.0
2015,8,8,0,0.0
2015,8,8,1,0.0
2015,8,8,2,0.0
2015,8,8,3,0.0
2015,8,8,4,0.0
2015,8,8,5,48.2
2015,8,8,6,50.55
2015,8,8,7,89.54
2015,8,8,8,113.64
2015,8,8,9,123.38
2015,8,8,10,194.19
2015,8,8,11,171.84
2015,8,8,12,187.09
2015,8,8,13,211.87
2015,8,8,14,153.45
2015,8,8,15,135.9
2015,8,8,16,114.98
2015,8,8,17,60.11
2015,8,8,18,0.0
2015,8,8,19,0.0
2015,8,8,20,0.0
2015,8,8,21,0.0
2015,8,8,22,0.0
2015,8,8,23,0.0
2015,8,9,0,0.0
2015,8,9,1,0.0
